block_start,block_end,average_distance
1,9,0.41936376953125
2,10,0.37298974609375
3,11,0.365068359375
4,12,0.35545703125
5,13,0.3406630859375
6,14,0.32934228515625
7,15,0.323067626953125
8,16,0.314797607421875
9,17,0.318101318359375
10,18,0.321109130859375
11,19,0.319255615234375
12,20,0.318618896484375
13,21,0.31922900390625
14,22,0.31181591796875
15,23,0.307211669921875
16,24,0.29821484375
17,25,0.28197607421875
18,26,0.270509765625
19,27,0.263835205078125
20,28,0.256081787109375
21,29,0.2512119140625
22,30,0.25334814453125
23,31,0.26219873046875
24,32,0.3684755859375
